LinearEquiv.coordMatrix MorseCancellation.classCoordinateMatrix
LinearEquiv.coordMatrix_mulVec MorseCancellation.classCoordinateMatrix_mulVec
LinearEquiv.surjective_coordMatrix_mulVec MorseCancellation.classCoordinateMatrix_surjective
Matrix.surjective_mulVec_mul_transvection MorseCancellation.mul_transvection_surjective
Matrix.eq_mul_transvection_of_columns MorseCancellation.eq_mul_transvection_of_columns
Matrix.surjective_mulVec_mul_transvection_list MorseCancellation.mul_transvection_list_surjective
Matrix.primitive_row_has_unit_after_column_additions MorseCancellation.primitive_row_has_unit_after_column_additions
LinearEquiv.surjective_functional_row_mulVec MorseCancellation.functional_class_row_surjective
LinearEquiv.symm_apply_eq_sum_of_coordMatrix_eq_mul MorseCancellation.transported_classes_of_matrix_product
LinearEquiv.functional_row_eq_mul_of_coordMatrix_eq_mul MorseCancellation.functional_rows_of_matrix_product
LinearMap.ker_comp_eq_ker_sup_span_singleton HomologyTransport.ker_comp_span_singleton
LinearMap.exists_split_of_ker_eq_range HomologyTransport.exists_split_rank_one_extension
LinearMap.exists_addEquiv_split_of_ker_eq_range HomologyTransport.exists_add_split_rank_one_extension
Fin.tailHeadAddEquiv HomologyTransport.integerCoordinateSplit
LinearEquiv.natAbs_apply_one HomologyTransport.integerEquiv_one_natAbs
Matrix.cols_eq_rows_of_bijective_mulVec HomologyTransport.matrix_sizes_eq_of_bijective
RegularLevel.exists_flow_realization_of_relative_isotopy FlowSuspension.exists_relative_regular_level_isotopy_realization
TopologicalSpace.Opens.exists_contMDiff_curve_with_germ MorseCancellation.exists_native_open_curve_with_germ
TopologicalSpace.Opens.exists_embedded_arc_with_local_germs MorseCancellation.exists_embedded_native_open_arc_with_local_germs
TopologicalSpace.Opens.injective_mfderiv_subtype_val NativeOpenSubmanifold.injective_mfderiv_subtype_val
Metric.unitSphere_eq_two_points_of_finrank_eq_one MorseCancellation.unitSphere_eq_two_points_of_finrank_one
CircleGluing.injective_mfderiv_curve_translate MorseCancellation.injective_mfderiv_curve_translate
IndexDisorder.upperValueRank MorseRearrangement.upperValueRank
IndexDisorder.finiteIndexDisorder MorseRearrangement.finiteIndexDisorder
IndexDisorder.upperValueRank_comp_equiv MorseRearrangement.upperValueRank_comp_equiv
IndexDisorder.finiteIndexDisorder_comp_equiv MorseRearrangement.finiteIndexDisorder_comp_equiv
IndexDisorder.upperValueRank_consecutive MorseRearrangement.upperValueRank_consecutive
IndexDisorder.sum_erase_two_nat MorseRearrangement.sum_erase_two_nat
IndexDisorder.weighted_sum_swap_identity MorseRearrangement.weighted_sum_swap_identity
IndexDisorder.finiteIndexDisorder_swap_lt MorseRearrangement.finiteIndexDisorder_swap_lt
IndexDisorder.exists_adjacent_index_inversion MorseRearrangement.exists_adjacent_index_inversion
IndexDisorder.exists_consecutive_below_of_intermediate MorseRearrangement.exists_consecutive_below_of_intermediate
IndexDisorder.beforeValueRank MorseRearrangement.beforeValueRank
IndexDisorder.beforeValueRank_exchange_lt MorseRearrangement.beforeValueRank_exchange_lt
